name,cloneOf,description
puckman,,PuckMan (Japan set 1)
puckmana,1,PuckMan (Japan set 2)
pacman,1,Pac-Man (Midway)
pacmanf,1,Pac-Man (speedup hack)
puckmod,1,PuckMan (harder[Q])
pacmod,1,"Pac-Man (Midway, harder)"
hangly,1,Hangly-Man (set 1)
hangly2,1,Hangly-Man (set 2)
hangly3,1,Hangly-Man (set 3)
newpuckx,1,New Puck-X
pacheart,1,Pac-Man (Hearts)
joyman,1,Joyman
newpuc2,1,Newpuc2
newpuc2b,1,Newpuc2 (set 2)
piranha,1,Piranha
piranhao,1,Piranha (older)
piranhah,1,Piranha (hack)
nmouse,,Naughty Mouse (set 1)
nmouseb,18,Naughty Mouse (set 2)
woodpeck,,Woodpecker (set 1)
woodpeca,20,Woodpecker (set 2)
pacplus,,Pac-Man Plus
mspacman,,Ms. Pac-Man
mspacmnf,23,Ms. Pac-Man (speedup hack)
mspacmab,23,Ms. Pac-Man (bootleg)
mspacmat,23,Ms. Pac Attack
mspacpls,23,Ms. Pac-Man Plus
pacgal,23,Pac-Gal
mschamp,23,Ms. Pacman Champion Edition - Super Zola Pac Gal
mspactwin,,Ms. Pac-Man Twin (Argentina)
maketrax,34,Make Trax (set 1)
maketrxb,34,Make Trax (set 2)
korosuke,34,Korosuke Roller
crush,,Crush Roller (Kural Samno)
crush2,34,Crush Roller (Kural Esco - bootleg[Q])
crush3,34,Crush Roller (Kural - bootleg[Q])
mbrush,34,Magic Brush
paintrlr,34,Paint Roller
eyes,,Eyes (Digitrex Techstar)
eyes2,39,Eyes (Techstar)
mrtnt,,Mr. TNT
gorkans,41,Gorkans
eggor,,Eggor
ponpoko,,Ponpoko
ponpokov,44,Ponpoko (Venture Line)
lizwiz,,Lizard Wizard
theglobp,76,The Glob (Pac-Man hardware)
beastf,76,Beastie Feastie
acitya,50,Atlantic City Action
bwcasino,,Boardwalk Casino
dremshpr,,Dream Shopper
vanvan,,Van-Van Car
vanvank,52,Van-Van Car (Karateco)
alibaba,,Ali Baba and 40 Thieves
alibabab,54,Mustafa and 40 Thieves (bootleg)
pengo,,"Pengo (World, not encrypted, rev A)"
pengoa,56,"Pengo (World, 315-5010 type, set 1)"
pengob,56,"Pengo (World, 315-5010 type, set 2)"
pengoc,56,"Pengo (World, 315-5010 type, set 3)"
pengoj,56,"Pengo (Japan, not encrypted)"
pengoja,56,"Pengo (Japan, 315-5010 type, rev C)"
pengojb,56,"Pengo (Japan, 315-5007 type, rev A)"
pengojbl,56,"Pengo (Japan, bootleg)"
penta,56,Penta (bootleg)
jrpacman,,Jr. Pac-Man
jrpacmnf,65,Jr. Pac-Man (speedup hack)
jumpshot,,Jump Shot
shootbul,,Shoot the Bull
bigbucks,,Big Bucks
drivfrcp,,Driving Force (Pac-Man conversion)
8bpm,704,Eight Ball Action (Pac-Man conversion)
porky,,Porky
megadon,,Megadon
catapult,,Catapult
eeekk,,Eeekk!
suprglob,,Super Glob
theglob,76,The Glob
theglob2,76,The Glob (earlier)
theglob3,76,The Glob (set 3)
igmo,,IGMO
dealer,,The Dealer
galaxian,,Galaxian (Namco set 1)
galaxiaj,82,Galaxian (Namco set 2)
galmidw,82,Galaxian (Midway)
galmidwo,82,"Galaxian (Midway, old rev)"
superg,82,Super Galaxians
galapx,82,Galaxian Part X
moonaln,82,Moon Alien
galap1,82,Space Invaders Galactica
galap4,82,Galaxian Part 4
galturbo,82,Galaxian Turbo
swarm,82,Swarm
zerotime,82,Zero Time
tst_galx,82,Galaxian Test ROM
gmgalax,,Ghostmuncher Galaxian (bootleg)
pisces,,Pisces
piscesb,96,Pisces (bootleg)
uniwars,,UniWar S
gteikoku,98,Gingateikoku No Gyakushu
gteikokb,98,Gingateikoku No Gyakushu (bootleg set 1)
gteikob2,98,Gingateikoku No Gyakushu (bootleg set 2)
spacbatt,98,Space Battle
skyraidr,98,Sky Raiders
batman2,373,Batman Part 2
warofbug,,War of the Bugs or Monsterous Manouvers in a Mushroom Maze
redufo,,Defend the Terra Attack on the Red UFO
exodus,106,Exodus (bootleg[Q])
streakng,,Streaking
pacmanbl,1,Pac-Man (Galaxian hardware)
devilfsg,168,"Devil Fish (Galaxian hardware, bootleg[Q])"
zigzag,,"Zig Zag (Galaxian hardware, set 1)"
zigzag2,111,"Zig Zag (Galaxian hardware, set 2)"
jumpbug,,Jump Bug
jumpbugb,113,Jump Bug (bootleg)
levers,,Levers
azurian,,Azurian Attack
orbitron,,Orbitron
mooncrgx,119,Moon Cresta (Galaxian hardware)
mooncrst,,Moon Cresta (Nichibutsu)
mooncrsu,119,"Moon Cresta (Nichibutsu, unencrypted)"
mooncrsa,119,"Moon Cresta (Nichibutsu, old rev)"
mooncrsg,119,Moon Cresta (Gremlin)
smooncrs,119,Super Moon Cresta
mooncrsb,119,Moon Cresta (bootleg set 1)
mooncrs2,119,Moon Cresta (bootleg set 2)
fantazia,119,Fantazia
moonqsr,,Moon Quasar
mshuttle,,Moon Shuttle (US[Q])
mshuttlj,128,Moon Shuttle (Japan)
moonal2,,Moon Alien Part 2
moonal2b,130,Moon Alien Part 2 (older version)
eagle,119,Eagle (set 1)
eagle2,119,Eagle (set 2)
skybase,,Sky Base
checkman,,Check Man
checkmaj,135,Check Man (Japan)
dingo,,Dingo
blkhole,,Black Hole
kingball,,King and Balloon (US)
