name,cloneOf,description
005,,005
100lions,1352,"100 Lions (10219211, NSW/ACT)"
100lionsa,0,"100 Lions (30223811, ASP)"
10yard,,"10-Yard Fight (World, set 1)"
10yard85,4,"10-Yard Fight '85 (US, Taito license)"
10yardj,4,10-Yard Fight (Japan)
110dance,,Retro Dance Mat (110 song Super StepMania + 9-in-1 games) (PAL)
11beat,867,Eleven Beat
1292apvs,,1292 Advanced Programmable Video System
1392apvs,9,1392 Advanced Programmable Video System
15lions,1352,"15 Lions (10166211, Queensland)"
18w,,18 Wheeler (set 1)
18w2,12,18 Wheeler (set 2)
18wheelr,24138,"18 Wheeler: American Pro Trucker (deluxe, Rev A)"
18wheelro,0,18 Wheeler: American Pro Trucker (deluxe)
18wheelrt,0,"18 Wheeler: American Pro Trucker (deluxe, Rev T)"
18wheels,0,18 Wheeler: American Pro Trucker (standard)
18wheelu,0,18 Wheeler: American Pro Trucker (upright)
1941,,1941: Counter Attack (World 900227)
1941j,19,1941: Counter Attack (Japan)
1941r1,19,1941: Counter Attack (World)
1941u,19,1941: Counter Attack (USA 900227)
1942,,1942 (Revision B)
1942a,23,1942 (Revision A)
1942abl,23,"1942 (Revision A, bootleg)"
1942b,23,1942 (First Version)
1942h,23,Supercharger 1942
1942iti,23,1942 (Itisa bootleg)
1942p,23,"1942 (Tecfri PCB, bootleg?)"
1942w,23,1942 (Williams Electronics license)
1943,,1943: The Battle of Midway (Euro)
1943b,31,"1943: Battle of Midway (bootleg, hack of Japan set)"
1943bj,31,1943: Midway Kaisen (bootleg)
1943j,31,"1943: Midway Kaisen (Japan, Rev B)"
1943ja,31,1943: Midway Kaisen (Japan)
1943jah,31,"1943: Midway Kaisen (Japan, no protection hack)"
1943kai,,1943 Kai: Midway Kaisen (Japan)
1943mii,,1943: The Battle of Midway Mark II (US)
1943u,31,"1943: The Battle of Midway (US, Rev C)"
1943ua,31,1943: The Battle of Midway (US)
1944,,1944: The Loop Master (Europe 000620)
1944d,41,1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)
1944j,41,1944: The Loop Master (Japan 000620)
1944u,41,1944: The Loop Master (USA 000620)
1945kiii,,"1945k III (newer, OPCX2 PCB)"
1945kiiin,45,"1945k III (newer, OPCX1 PCB)"
1945kiiio,45,"1945k III (older, OPCX1 PCB)"
1945kiiipt,45,"1945k III (Promat license, OPCX1 PCB)"
