name,cloneOf,description
005,,005
100lions,1004,"100 Lions (10219211, NSW/ACT)"
10yard,,"10-Yard Fight (World, set 1)"
10yard85,3,"10-Yard Fight '85 (US, Taito license)"
10yardj,3,10-Yard Fight (Japan)
11beat,676,Eleven Beat
1292apvs,,1292 Advanced Programmable Video System
1392apvs,7,1392 Advanced Programmable Video System
18w,,18 Wheeler (set 1)
18w2,9,18 Wheeler (set 2)
18wheelr,19695,18 Wheeler (deluxe) (Rev A)
18wheels,0,18 Wheeler (standard)
18wheelu,0,18 Wheeler (upright)
1941,,1941: Counter Attack (World 900227)
1941j,14,1941: Counter Attack (Japan)
1941r1,14,1941: Counter Attack (World)
1941u,14,1941: Counter Attack (USA 900227)
1942,,1942 (Revision B)
1942a,18,1942 (Revision A)
1942abl,18,"1942 (Revision A, bootleg)"
1942b,18,1942 (First Version)
1942h,18,Supercharger 1942
1942p,18,"1942 (Tecfri PCB, bootleg?)"
1942w,18,1942 (Williams Electronics license)
1943,,1943: The Battle of Midway (Euro)
1943b,25,"1943: Battle of Midway (bootleg, hack of Japan set)"
1943bj,25,1943: Midway Kaisen (bootleg)
1943j,25,"1943: Midway Kaisen (Japan, Rev B)"
1943ja,25,1943: Midway Kaisen (Japan)
1943kai,,1943 Kai: Midway Kaisen (Japan)
1943u,25,"1943: The Battle of Midway (US, Rev C)"
1943ua,25,1943: The Battle of Midway (US)
1944,,1944: The Loop Master (USA 000620)
1944d,33,1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)
1944j,33,1944: The Loop Master (Japan 000620)
1945kiii,,"1945k III (newer, OPCX2 PCB)"
1945kiiio,36,"1945k III (older, OPCX1 PCB)"
19in1,76,19 in 1 MAME bootleg
19xx,,19XX: The War Against Destiny (USA 951207)
19xxa,39,19XX: The War Against Destiny (Asia 960104)
19xxar1,39,19XX: The War Against Destiny (Asia 951207)
19xxb,39,19XX: The War Against Destiny (Brazil 951218)
19xxd,39,19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)
19xxh,39,19XX: The War Against Destiny (Hispanic 951218)
19xxj,39,"19XX: The War Against Destiny (Japan 960104, yellow case)"
19xxjr1,39,19XX: The War Against Destiny (Japan 951225)
19xxjr2,39,19XX: The War Against Destiny (Japan 951207)
1on1gov,31791,1 on 1 Government (Japan)
2020bb,19805,2020 Super Baseball (set 1)
2020bba,0,2020 Super Baseball (set 2)
2020bbh,0,2020 Super Baseball (set 3)
20pacgal,,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08)
20pacgalr0,52,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.00)
20pacgalr1,52,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01)
20pacgalr2,52,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02)
20pacgalr3,52,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.03)
20pacgalr4,52,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04)
24_130,61,24 v1.30
24_140,61,24 v1.40
24_144,61,24 v1.44
24_150,,24 v1.50
24cdjuke,,Midcoin Juke Box 24CD
25pacman,,Pac-Man - 25th Anniversary Edition (Rev 3.00)
25pacmano,63,Pac-Man - 25th Anniversary Edition (Rev 2.00)
280zzzap,,280-ZZZAP
2mindril,,Two Minute Drill
2spicy,10738,2 Spicy
30test,,30 Test (Remake)
32x,,"Genesis with 32X (USA, NTSC)"
32x_mcd,72,"Mega-CD with 32X (Europe, PAL)"
32x_mcdj,72,"Mega-CD with 32X (Japan, NTSC)"
32x_scd,,"Sega CD with 32X (USA, NTSC)"
32xe,69,"Mega Drive with 32X (Europe, PAL)"
32xj,69,"Mega Drive with 32X (Japan, NTSC)"
386i,19877,386i
39in1,,39 in 1 MAME bootleg
3b1,,3B1
3bagflnz,79,"3 Bags Full (3VXFC5345, New Zealand)"
3bagflvt,,"3 Bags Full (5VXFC790, Victoria)"
3countb,19805,3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)
3do,,3DO (NTSC)
3do_m2,,3DO M2
3do_pal,81,3DO (PAL)
3dobios,,3DO Bios
3in1semi,,New HyperMan (3-in-1 with Cookie &amp; Bibi &amp; HyperMan)
3kokushi,,Sankokushi (Japan)
3lilpigs,,3 Lil' Pigs
3on3dunk,,"3 On 3 Dunk Madness (US, prototype? 1997/02/04)"
3stooges,,The Three Stooges In Brides Is Brides (set 1)
3stoogesa,89,The Three Stooges In Brides Is Brides (set 2)
3super8,,3 Super 8 (Italy)
3wishrd,,Three Wishes Red (Russia) (Atronic)
3wonders,,Three Wonders (World 910520)
3wondersb,93,Three Wonders (bootleg)
3wondersh,93,Three Wonders (hack)
3wondersr1,93,Three Wonders (World 910513)
3wondersu,93,Three Wonders (USA 910520)
3x3puzzl,,3X3 Puzzle (Enterprise)
3x3puzzla,98,3X3 Puzzle (Normal)
4004clk,,4004 Nixie Clock
40love,,Forty-Love
47pie2,,Idol Janshi Su-Chi-Pie 2 (v1.1)
47pie2o,102,Idol Janshi Su-Chi-Pie 2 (v1.0)
48in1,76,"48 in 1 MAME bootleg (set 1, ver 3.09)"
48in1a,76,"48 in 1 MAME bootleg (set 3, ver 3.02)"
48in1b,76,"48 in 1 MAME bootleg (set 2, ver 3.09, alt flash)"
4dwarrio,,4-D Warriors (315-5162)
4enlinea,,Cuatro en Linea
4enraya,,4 En Raya (set 1)
4enrayaa,109,4 En Raya (set 2)
4in1,,4 Fun in 1
4in1a,76,"4 in 1 MAME bootleg (set 1, ver 3.00)"
4in1b,76,4 in 1 MAME bootleg (set 2)
4in1boot,,"Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.)"
