name,cloneOf,description
005,,005
100lions,1304,"100 Lions (10219211, NSW/ACT)"
100lionsa,0,"100 Lions (30223811, ASP)"
10yard,,"10-Yard Fight (World, set 1)"
10yard85,4,"10-Yard Fight '85 (US, Taito license)"
10yardj,4,10-Yard Fight (Japan)
110dance,,Retro Dance Mat (110 song Super StepMania + 9-in-1 games) (PAL)
11beat,857,Eleven Beat
1292apvs,,1292 Advanced Programmable Video System
1392apvs,9,1392 Advanced Programmable Video System
15lions,1304,"15 Lions (10166211, Queensland)"
18w,,18 Wheeler (set 1)
18w2,12,18 Wheeler (set 2)
18wheelr,23537,"18 Wheeler: American Pro Trucker (deluxe, Rev A)"
18wheelro,0,18 Wheeler: American Pro Trucker (deluxe)
18wheelrt,0,"18 Wheeler: American Pro Trucker (deluxe, Rev T)"
18wheels,0,18 Wheeler: American Pro Trucker (standard)
18wheelu,0,18 Wheeler: American Pro Trucker (upright)
1941,,1941: Counter Attack (World 900227)
1941j,19,1941: Counter Attack (Japan)
1941r1,19,1941: Counter Attack (World)
1941u,19,1941: Counter Attack (USA 900227)
1942,,1942 (Revision B)
1942a,23,1942 (Revision A)
1942abl,23,"1942 (Revision A, bootleg)"
1942b,23,1942 (First Version)
1942h,23,Supercharger 1942
1942iti,23,1942 (Itisa bootleg)
1942p,23,"1942 (Tecfri PCB, bootleg?)"
1942w,23,1942 (Williams Electronics license)
1943,,1943: The Battle of Midway (Euro)
1943b,31,"1943: Battle of Midway (bootleg, hack of Japan set)"
1943bj,31,1943: Midway Kaisen (bootleg)
1943j,31,"1943: Midway Kaisen (Japan, Rev B)"
1943ja,31,1943: Midway Kaisen (Japan)
1943jah,31,"1943: Midway Kaisen (Japan, no protection hack)"
1943kai,,1943 Kai: Midway Kaisen (Japan)
1943mii,,1943: The Battle of Midway Mark II (US)
1943u,31,"1943: The Battle of Midway (US, Rev C)"
1943ua,31,1943: The Battle of Midway (US)
1944,,1944: The Loop Master (Europe 000620)
1944d,41,1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)
1944j,41,1944: The Loop Master (Japan 000620)
1944u,41,1944: The Loop Master (USA 000620)
1945kiii,,"1945k III (newer, OPCX2 PCB)"
1945kiiin,45,"1945k III (newer, OPCX1 PCB)"
1945kiiio,45,"1945k III (older, OPCX1 PCB)"
19in1,93,19 in 1 MAME bootleg (BAR-V000)
19xx,,19XX: The War Against Destiny (Europe 960104)
19xxa,49,19XX: The War Against Destiny (Asia 960104)
19xxar1,49,19XX: The War Against Destiny (Asia 951207)
19xxb,49,19XX: The War Against Destiny (Brazil 951218)
19xxd,49,19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)
19xxh,49,19XX: The War Against Destiny (Hispanic 951218)
19xxj,49,"19XX: The War Against Destiny (Japan 960104, yellow case)"
19xxjr1,49,19XX: The War Against Destiny (Japan 951225)
19xxjr2,49,19XX: The War Against Destiny (Japan 951207)
19xxu,49,19XX: The War Against Destiny (USA 951207)
1on1gov,3892,1 on 1 Government (Japan)
2020bb,23705,2020 Super Baseball (set 1)
2020bba,0,2020 Super Baseball (set 2)
2020bbh,0,2020 Super Baseball (set 3)
20pacgal,,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08)
20pacgalr0,63,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.00)
20pacgalr1,63,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01)
20pacgalr2,63,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02)
20pacgalr3,63,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.03)
20pacgalr4,63,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04)
240in1ar,,"Mini Arcade Machine (Thumbs Up, 240IN1ARC)"
24_130,73,24 v1.30
24_140,73,24 v1.40
24_144,73,24 v1.44
24_150,,24 v1.50
24cdjuke,,Midcoin Juke Box 24CD
25pacman,,Pac-Man - 25th Anniversary Edition (Rev 3.00)
25pacmano,75,Pac-Man - 25th Anniversary Edition (Rev 2.00)
280zzzap,,280-ZZZAP
2mindril,,Two Minute Drill (Ver 2.93A 1994/02/16)
2mindrila,78,Two Minute Drill (Ver 2.2A 1993/10/18)
2spicy,13772,2 Spicy
30test,,30 Test (remake)
32x,,"Genesis with 32X (USA, NTSC)"
32x_mcd,85,"Mega-CD with 32X (Europe, PAL)"
32x_mcdj,85,"Mega-CD with 32X (Japan, NTSC)"
32x_scd,,"Sega CD with 32X (USA, NTSC)"
32xe,82,"Mega Drive with 32X (Europe, PAL)"
32xj,82,"Mega Drive with 32X (Japan, NTSC)"
386i,23816,386i
386sc,10686,386 SC Rev A2
386sc2c,10686,386 motherboard using the Symphony chipset
386schg,10686,386-SC-HG
386sxvhcom,10686,80386SX-VH-COM
39in1,,39 in 1 MAME bootleg (GNO-V000)
3b1,,UNIX PC Model 3B1
3b2_300,,3B2/300
3b2_310,95,3B2/310
3b2_400,95,3B2/400
3b2_600,,3B2/600
3bagflnz,100,"3 Bags Full (3VXFC5345, New Zealand)"
3bagflvt,,"3 Bags Full (5VXFC790, Victoria)"
3cdpoker,,3 Cards Poker 96 (V1.6)
3cdpokera,101,3 Cards Poker 96 (V1.0)
3countb,23705,3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)
3do,,3DO (NTSC)
3do_pal,104,3DO (PAL)
3dobios,,3DO BIOS
3in1semi,,New HyperMan (3-in-1 with Cookie &amp; Bibi &amp; HyperMan) (set 1)
3in1semia,107,New HyperMan (3-in-1 with Cookie &amp; Bibi &amp; HyperMan) (set 2)
3kokushi,,Sankokushi (Japan)
3lilpigs,,3 Lil' Pigs
3on3dunk,,"3 On 3 Dunk Madness (US, prototype? 1997/02/04)"
3siud,10686,3SIUD-1.1
3stooges,,The Three Stooges In Brides Is Brides (set 1)
3stoogesa,113,The Three Stooges In Brides Is Brides (set 2)
3super8,,3 Super 8 (Italy)
3wishrd,,Three Wishes Red (Russia) (Atronic)
3wonders,,Three Wonders (World 910520)
3wondersb,117,Three Wonders (bootleg)
3wondersh,117,Three Wonders (hack)
3wondersr1,117,Three Wonders (World 910513)
3wondersu,117,Three Wonders (USA 910520)
3x3puzzl,,3X3 Puzzle (Enterprise)
3x3puzzla,122,3X3 Puzzle (Normal)
4000_260,,4000/260
4004clk,,4004 Nixie Clock
40love,,Forty-Love (World)
40lovebl,126,Forty-Love (bootleg)
40lovej,126,Forty-Love (Japan)
486apio,10686,486 APIO
486ccv,10686,486-CCV
486igb21,10686,486IG-B-2-1
486wb6a3,10686,486WB6A3.B1
48in1,93,"48 in 1 MAME bootleg (ver 3.09, HPH-V000)"
48in1a,93,"48 in 1 MAME bootleg (ver 3.02, HPH-V000)"
48in1b,93,"48 in 1 MAME bootleg (ver 3.09, HPH-V000, alt flash)"
48in1c,93,"48 in 1 MAME bootleg (ver 3.08, HPH-V000)"
4d410,,4D/410
4dmshl3g,10686,4DMS HL3G-L4-VI
4dmuhl3s,10686,4DMU HL3S
4dwarrio,,4-D Warriors (315-5162)
4enlinea,,Cuatro en Linea (rev. A-07)
4enlineb,141,Cuatro en Linea (rev. A-06)
4enraya,,4 En Raya (set 1)
